"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","FOOTPRINT8","FOOTPRINT9","FOOTPRINT10","FOOTPRINT11","FOOTPRINT12","FOOTPRINT13","FOOTPRINT14","FOOTPRINT15","FOOTPRINT16","CODE_IPC","CODE_JEDEC","COMMENT","COMMON ANODE","COMPONENTAVAILABILITY","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPTYPE","DATASHEETVERSION","FOOTPRINT","IC_TECHNOLOGY","LATESTREVISIONDATE","LATESTREVISIONNOTE","MANUFACTURER","NOTE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGETOPMARKING","PACKAGEVERSION","PARTNUMBER","PINCOUNT","POWERWISE","PUBLISHED","PUBLISHER","ROHS","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"MAX485","DIP8","TSSOP8","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceivers"
"MCP2551","DIP8","TSSOP8","","","","","","","","","","","","","","","","","MCP2551","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","High-Speed CAN Transceiver"
"MCP41010","TSSOP8","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Single Digital Potentiometer with SPI Interface"
"MT8880CS","TSSOP20","","","","","","","","","","","","","","","","","","MT8880CS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Integrated DTMF Transceiver"
"Micro SD","Micro-SD","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","CN?",""
"NE555N","DIP8","TSSOP8","","","","","","","","","","","","","","","","MO-001-AN","","","","Manufacturer Link","http://www.st.com/","Datasheet","http://www.st.com/stonline/products/literature/ds/2182/ne555.pdf","","","","Jul-1998","","","06-Jun-2005","Stylized 3D Model Added.","","","DIP; 8 Leads; Row Spacing 7.62 mm; Pitch 2.54 mm","DIP8","","","","","","24-Aug-2001","Altium Limited","","","","","U?","General-Purpose Single Bipolar Timer"
"NE556N","DIP14","","","","","","","","","","","","","","","","","","","","","Manufacturer Link","http://www.st.com/","Datasheet","http://www.st.com/stonline/products/literature/ds/2183/ne556.pdf","","","","Jul-1998","","","06-Jun-2005","Stylized 3D Model Added.","","","DIP; 14 Leads; Row Spacing 7.62 mm; Pitch 2.54 mm","DIP14","","Jan-1997","","","","24-Aug-2001","Altium Limited","","","","","U?","General-Purpose Dual Bipolar Timer"
"OP07CP","DIP8","","","","","","","","","","","","","","","","","MO-001-AN","","","","Manufacturer Link","http://www.analog.com/en/prod/0,,759_786_OP07%2C00.html","Datasheet","http://www.analog.com/UploadedFiles/Data_Sheets/39161232478959OP07_c.pdf","","","","1992","","","04-Mar-2005","Stylized 3D Model Added.","","Pin 5 is not connected.","DIP; 8 Leads; Row Spacing 7.62 mm; Pitch 2.54 mm","N-8_A","","","","","","8-Jun-2000","Altium Limited","","","","","U?","Ultra-Low Offset Voltage Operational Amplifier"
"PC817","DIP4","","","","","","","","","","","","","","","","","","PC817","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","High Density Mounting Type Photocoupler"
"PCF8591","SO16W","DIP16","","","","","","","","","","","","","","","","","PCF8591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","8-bit A/D and D/A converter"
"PCF8593","DIP8","TSSOP8","","","","","","","","","","","","","","","","","PCF8593","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Low power clock and calendar"
"POT","bourns-3296w","trp-200","EVM1D","EVM3G","","","","","","","","","","","","","","","Multi Turn Potentiometr","","","","","","","","","","","","","","","","","","","","","","","","","","","1K","","*","R?","Trim Potentiometer"
"Reed Switch","reed-16-850","","","","","","","","","","","","","","","","","","Reed Switch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","S?","Single contact reed switch"
"Resistor","res-axl-400","res-axl-700","res-1206","RES-AXL-800","res-ver-100","res-ver-200","res-0603","res-0805","res-brk-9*22","res-2512","","","","","","","","","Resistor","","","","","","","","","","","","","","","","","","","","","","","","","","","1K","","*","R?","Resistor"
"SN74HCT08","SSOP14","","","","","","","","","","","","","","","","","","SN74HCT08","","","Manufacturer Link","http://www.ti.com/","Datasheet","http://www-s.ti.com/sc/ds/SN74HCT08.pdf","","","","May-1997","","","04-Mar-2005","Stylized 3D Model Added.","","","Shrink Small Outline; 14 Leads; Body Width 4.4 mm; Pitch 0.65 mm","PW014","","Feb-1999","","","","8-Jun-2000","Altium Limited","","","","","U?","Quadruple 2-Input Positive-AND Gate"
"Sim Card Holder","SimCard Holder","","","","","","","","","","","","","","","","","","Sim Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","CN?",""
"Single Seven Segment","KPS-3191A","","","","","","","","","","","","","","","","","","*","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"TD62083AFG","SOIC-18","","","","","","","","","","","","","","","","","","TD62083AFG","","","Manufacturer Link","http://www.st.com/","Datasheet","http://www.st.com/stonline/products/literature/ds/1536/uln2801a.pdf","","","","Sep-1997","","","06-Jun-2005","Stylized 3D Model Added.","","","DIP; 18 Leads; Row Spacing 7.62 mm; Pitch 2.54 mm","DIP18","","","","","","8-Jun-2000","Altium Limited","","","","","U?","Eight Darlington Array"
"TJA1055","TSSOP14","","","","","","","","","","","","","","","","","","TJA1055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","J?","Enhanced fault-tolerant CAN transceiver"
"TLE4279","","","","","","","","","","","","","","","","","","","TLE4279","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?","5V low drop fixed voltage regulator"
"TLP181GB","11-4C1","","","","","","","","","","","","","","","","","","TLP181","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","GaAs Ired & Photo-Transistor"
"TLP250","DIP8","","","","","","","","","","","","","","","","","","TLP250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
"UA741AN","DIP8","","","","","","","","","","","","","","","","","MO-001-AN","","","","Manufacturer Link","http://www.st.com/","Datasheet","http://www.st.com/stonline/products/literature/ds/5304/ua741.pdf","","","","Oct-1997","","","06-Jun-2005","Stylized 3D Model Added.","","","DIP; 8 Leads; Row Spacing 7.62 mm; Pitch 2.54 mm","DIP8","","","","","","24-Aug-2001","Altium Limited","","","","","U?","General-Purpose Single Operational Amplifier"
"ULN2001A","DIP16","SO16","","","","","","","","","","","","","","","","","","","","Manufacturer Link","http://www.st.com/","Datasheet","http://www.st.com/stonline/products/literature/ds/5279/uln2001.pdf","","","","Sep-1998","","","06-Jun-2005","Stylized 3D Model Added.","","","DIP; 16 Leads; Row Spacing 7.62 mm; Pitch 2.54 mm","DIP16","","Apr-1996","","","","8-Jun-2000","Altium Limited","","","","","U?","Seven Darlington Array"
"ULN2002A","DIP16","SO16","","","","","","","","","","","","","","","","","","","","Manufacturer Link","http://www.st.com/","Datasheet","http://www.st.com/stonline/products/literature/ds/5279/uln2001.pdf","","","","Sep-1998","","","06-Jun-2005","Stylized 3D Model Added.","","","DIP; 16 Leads; Row Spacing 7.62 mm; Pitch 2.54 mm","DIP16","","Apr-1996","","","","8-Jun-2000","Altium Limited","","","","","U?","Seven Darlington Array"
